region,population,treatment,isofemale,sex,replicate,n,Survival,% Survival
Southwest,REG,40-45¡C,R4,Females,8,10,7,70
Southwest,REG,40-45¡C,R4,Females,9,10,2,20
Southwest,REG,40-45¡C,R4,Females,10,10,5,50
Southwest,REG,40-45¡C,R4,Females,11,10,4,40
Southwest,REG,40-45¡C,R6,Females,1,10,1,10
Southwest,REG,40-45¡C,R6,Females,2,10,6,60
Southwest,REG,40-45¡C,R6,Females,3,10,1,10
Southwest,REG,40-45¡C,R6,Females,4,10,3,30
Southwest,REG,40-45¡C,R6,Females,5,10,5,50
Southwest,REG,40-45¡C,R6,Females,6,10,4,40
Southwest,REG,40-45¡C,R9,Females,1,10,0,0
Southwest,REG,40-45¡C,R9,Females,2,10,1,10
Southwest,REG,40-45¡C,R9,Females,3,10,2,20
Southwest,REG,40-45¡C,R9,Females,4,10,3,30
Southwest,REG,40-45¡C,R9,Females,5,10,8,80
Southwest,REG,40-45¡C,R9,Females,6,10,3,30
Southwest,REG,40-45¡C,R9,Females,7,10,4,40
Southwest,REG,40-45¡C,R9,Females,8,10,2,20
Southwest,REG,40-45¡C,R9,Females,9,10,3,30
Southwest,REG,40-45¡C,R9,Females,10,10,2,20
Southwest,REG,40-45¡C,R9,Females,11,10,4,40
Southwest,REG,40-45¡C,Southwest2,Females,1,10,5,50
Southwest,REG,40-45¡C,Southwest2,Females,2,10,3,30
Southwest,REG,40-45¡C,Southwest2,Females,3,10,0,0
Southwest,REG,40-45¡C,Southwest2,Females,4,10,2,20
Southwest,REG,40-45¡C,Southwest2,Females,5,10,1,10
Southwest,REG,40-45¡C,Southwest2,Females,6,10,4,40
Southwest,REG,40-45¡C,Southwest2,Females,7,10,2,20
Southwest,REG,40-45¡C,Southwest2,Females,8,10,1,10
Southwest,REG,40-45¡C,Southwest2,Females,9,10,2,20
Southwest,REG,40-45¡C,Southwest2,Females,10,10,1,10
Southwest,REG,40-45¡C,Southwest2,Females,11,10,2,20
Southwest,REG,40-45¡C,Southwest2,Females,12,10,5,50
Southwest,REG,40-45¡C,Southwest2,Females,13,10,2,20
Southwest,REG,40-45¡C,Southwest2,Females,14,10,3,30
Southwest,PAV,40-45¡C,Pa1,Females,1,10,2,20
Southwest,PAV,40-45¡C,Pa1,Females,2,10,3,30
Southwest,PAV,40-45¡C,Pa1,Females,3,10,4,40
Southwest,PAV,40-45¡C,Pa1,Females,4,10,3,30
Southwest,PAV,40-45¡C,Pa1,Females,5,10,2,20
Southwest,PAV,40-45¡C,Pa1,Females,6,10,2,20
Southwest,PAV,40-45¡C,Pa3,Females,1,10,2,20
Southwest,PAV,40-45¡C,Pa3,Females,2,10,0,0
Southwest,PAV,40-45¡C,Pa3,Females,3,10,1,10
Southwest,PAV,40-45¡C,Pa3,Females,4,10,3,30
Southwest,PAV,40-45¡C,Pa3,Females,5,10,2,20
Southwest,PAV,40-45¡C,Pa3,Females,6,10,2,20
Southwest,PAV,40-45¡C,Pa6,Females,1,10,0,0
Southwest,PAV,40-45¡C,Pa6,Females,2,10,0,0
Southwest,PAV,40-45¡C,Pa6,Females,3,10,2,20
Southwest,PAV,40-45¡C,Pa7,Females,1,10,4,40
Southwest,PAV,40-45¡C,Pa7,Females,2,10,0,0
Southwest,PAV,40-45¡C,Pa7,Females,3,10,1,10
Southwest,PAV,40-45¡C,Pa7,Females,4,10,2,20
Southwest,PAV,40-45¡C,Pa7,Females,5,10,4,40
Southwest,PAV,40-45¡C,Pa7,Females,6,10,2,20
Southwest,PAV,40-45¡C,Pa7,Females,7,10,1,10
Southwest,PAV,40-45¡C,Pa7,Females,8,10,4,40
Southwest,PAV,40-45¡C,Pa8,Females,1,10,1,10
Southwest,PAV,40-45¡C,Pa8,Females,2,10,0,0
Southwest,PAV,40-45¡C,Pa8,Females,3,10,0,0
Southwest,PAV,40-45¡C,Pa8,Females,4,10,1,10
Southwest,PAV,40-45¡C,Pa8,Females,5,10,1,10
Southwest,PAV,40-45¡C,Pa11,Females,1,10,1,10
Southwest,PAV,40-45¡C,Pa11,Females,2,10,3,30
Southwest,PAV,40-45¡C,Pa11,Females,3,10,2,20
Southwest,PAV,40-45¡C,Pa11,Females,4,10,1,10
Southwest,PAV,40-45¡C,Pa11,Females,5,10,1,10
Southwest,PAV,40-45¡C,Pa12,Females,1,10,0,0
Southwest,PAV,40-45¡C,Pa12,Females,2,10,0,0
Southwest,PAV,40-45¡C,Pa12,Females,3,10,1,10
Southwest,PAV,40-45¡C,Pa12,Females,4,10,1,10
Southwest,PAV,40-45¡C,Pa12,Females,5,10,1,10
Southwest,PAV,40-45¡C,Pa13,Females,1,10,1,10
Southwest,PAV,40-45¡C,Pa13,Females,2,10,4,40
Southwest,PAV,40-45¡C,Pa13,Females,3,10,3,30
Southwest,PAV,40-45¡C,Pa13,Females,4,10,2,20
Southwest,PAV,40-45¡C,Pa13,Females,5,10,0,0
Southwest,PAV,40-45¡C,Pa14,Females,1,10,1,10
Southwest,PAV,40-45¡C,Pa14,Females,2,10,1,10
Southwest,PAV,40-45¡C,Pa14,Females,3,10,2,20
Southwest,PAV,40-45¡C,Pa14,Females,4,10,2,20
Southwest,PAV,40-45¡C,Pa14,Females,5,10,2,20
Southwest,PAV,40-45¡C,Pa14,Females,6,10,3,30
Southwest,PAV,40-45¡C,Pa16,Females,1,10,0,0
Southwest,PAV,40-45¡C,Pa16,Females,2,10,0,0
Southwest,PAV,40-45¡C,Pa16,Females,3,10,0,0
Southwest,PAV,40-45¡C,Pa16,Females,4,10,0,0
Southwest,PAV,40-45¡C,Pa16,Females,5,10,0,0
Southwest,PAV,40-45¡C,Pa16,Females,6,10,0,0
Southwest,PAV,40-45¡C,Pa16,Females,7,10,0,0
Southwest,PAV,40-45¡C,Pa16,Females,8,10,1,10
Southwest,PAV,40-45¡C,Pa18,Females,1,10,3,30
Southwest,PAV,40-45¡C,Pa18,Females,2,10,2,20
Southwest,PAV,40-45¡C,Pa18,Females,3,10,3,30
Southwest,PAV,40-45¡C,Pa18,Females,4,10,2,20
Southwest,PAV,40-45¡C,Pa18,Females,5,10,0,0
Southwest,CAN,40-45¡C,C2,Females,1,10,0,0
Southwest,CAN,40-45¡C,C2,Females,2,10,1,10
Southwest,CAN,40-45¡C,C2,Females,3,10,0,0
Southwest,CAN,40-45¡C,C2,Females,4,10,0,0
Southwest,CAN,40-45¡C,C2,Females,5,10,1,10
Southwest,CAN,40-45¡C,C2,Females,6,10,0,0
Southwest,CAN,40-45¡C,C2,Females,7,10,0,0
Southwest,CAN,40-45¡C,C2,Females,8,10,1,10
Southwest,CAN,40-45¡C,C2,Females,9,10,3,30
Southwest,CAN,40-45¡C,C2,Females,10,10,0,0
Southwest,CAN,40-45¡C,C2,Females,11,10,0,0
Southwest,CAN,40-45¡C,C2,Females,12,10,0,0
Southwest,CAN,40-45¡C,C2,Females,13,10,2,20
Southwest,CAN,40-45¡C,C2,Females,14,10,4,40
Southwest,CAN,40-45¡C,C3,Females,1,10,5,50
Southwest,CAN,40-45¡C,C3,Females,2,10,6,60
Southwest,CAN,40-45¡C,C3,Females,3,10,5,50
Southwest,CAN,40-45¡C,C3,Females,4,10,3,30
Southwest,CAN,40-45¡C,C3,Females,5,10,2,20
Southwest,CAN,40-45¡C,C3,Females,6,10,0,0
Southwest,CAN,40-45¡C,C3,Females,7,10,4,40
Southwest,CAN,40-45¡C,C3,Females,8,10,2,20
Southwest,CAN,40-45¡C,C3,Females,9,10,3,30
Southwest,CAN,40-45¡C,C3,Females,10,10,2,20
Southwest,CAN,40-45¡C,C4,Females,1,10,0,0
Southwest,CAN,40-45¡C,C4,Females,2,10,1,10
Southwest,CAN,40-45¡C,C4,Females,3,10,0,0
Southwest,CAN,40-45¡C,C4,Females,4,10,0,0
Southwest,CAN,40-45¡C,C4,Females,5,10,1,10
Southwest,CAN,40-45¡C,C4,Females,6,10,4,40
Southwest,CAN,40-45¡C,C4,Females,7,10,2,20
Southwest,CAN,40-45¡C,C4,Females,8,10,1,10
Southwest,CAN,40-45¡C,C4,Females,9,10,1,10
Southwest,CAN,40-45¡C,C4,Females,10,10,2,20
Southwest,CAN,40-45¡C,C4,Females,11,10,6,60
Southwest,CAN,40-45¡C,C5,Females,1,10,1,10
Southwest,CAN,40-45¡C,C5,Females,2,10,1,10
Southwest,CAN,40-45¡C,C5,Females,3,10,3,30
Southwest,CAN,40-45¡C,C5,Females,4,10,1,10
Southwest,CAN,40-45¡C,C5,Females,6,10,1,10
Southwest,CAN,40-45¡C,C5,Females,7,10,0,0
Southwest,CAN,40-45¡C,C5,Females,8,10,1,10
Southwest,CAN,40-45¡C,C5,Females,9,10,1,10
Southwest,CAN,40-45¡C,C5,Females,10,10,3,30
Southwest,CAN,40-45¡C,C5,Females,11,10,2,20
Southwest,CAN,40-45¡C,C8,Females,1,10,0,0
Southwest,CAN,40-45¡C,C8,Females,2,10,1,10
Southwest,CAN,40-45¡C,C8,Females,3,10,2,20
Southwest,CAN,40-45¡C,C8,Females,4,10,6,60
Southwest,CAN,40-45¡C,C8,Females,5,10,3,30
Southwest,CAN,40-45¡C,C8,Females,6,10,2,20
Southwest,CAN,40-45¡C,C12,Females,1,10,1,10
Southwest,CAN,40-45¡C,C12,Females,2,10,0,0
Southwest,CAN,40-45¡C,C12,Females,3,10,2,20
Southwest,CAN,40-45¡C,C12,Females,4,10,3,30
Southwest,PRA,40-45¡C,P1,Females,1,10,4,40
Southwest,PRA,40-45¡C,P1,Females,2,10,7,70
Southwest,PRA,40-45¡C,P1,Females,3,10,3,30
Southwest,PRA,40-45¡C,P1,Females,4,10,5,50
Southwest,PRA,40-45¡C,P1,Females,5,10,7,70
Southwest,PRA,40-45¡C,P4,Females,1,10,3,30
Southwest,PRA,40-45¡C,P4,Females,2,10,1,10
Southwest,PRA,40-45¡C,P4,Females,3,10,1,10
Southwest,PRA,40-45¡C,P4,Females,4,10,1,10
Southwest,PRA,40-45¡C,P4,Females,5,10,2,20
Southwest,PRA,40-45¡C,P4,Females,6,10,3,30
Southwest,PRA,40-45¡C,P4,Females,7,10,2,20
Southwest,PRA,40-45¡C,P4,Females,8,10,3,30
Southwest,PRA,40-45¡C,P6,Females,1,10,1,10
Southwest,PRA,40-45¡C,P6,Females,2,10,4,40
Southwest,PRA,40-45¡C,P6,Females,3,10,5,50
Southwest,PRA,40-45¡C,P6,Females,4,10,3,30
Southwest,PRA,40-45¡C,P6,Females,5,10,2,20
Southwest,PRA,40-45¡C,P6,Females,6,10,3,30
Southwest,PRA,40-45¡C,P6,Females,7,10,4,40
Southwest,PRA,40-45¡C,P6,Females,8,10,0,0
Southwest,PRA,40-45¡C,P6,Females,9,10,2,20
Southwest,PRA,40-45¡C,P8,Females,1,10,5,50
Southwest,PRA,40-45¡C,P8,Females,2,10,4,40
Southwest,PRA,40-45¡C,P8,Females,3,10,5,50
Southwest,PRA,40-45¡C,P8,Females,4,10,6,60
Southwest,PRA,40-45¡C,P8,Females,5,10,2,20
Southwest,PRA,40-45¡C,P9,Females,1,10,1,10
Southwest,PRA,40-45¡C,P9,Females,2,10,1,10
Southwest,PRA,40-45¡C,P9,Females,3,10,2,20
Southwest,PRA,40-45¡C,P9,Females,4,10,3,30
Southwest,PRA,40-45¡C,P10,Females,1,10,1,10
Southwest,PRA,40-45¡C,P10,Females,2,10,1,10
Southwest,PRA,40-45¡C,P10,Females,3,10,2,20
Southwest,PRA,40-45¡C,P10,Females,4,10,2,20
Southwest,PRA,40-45¡C,P10,Females,5,10,1,10
Southwest,PRA,40-45¡C,P10,Females,6,10,4,40
Southwest,PRA,40-45¡C,P10,Females,7,10,1,10
Southwest,ROZ,40-45¡C,Ro2,Females,1,10,4,40
Southwest,ROZ,40-45¡C,Ro2,Females,2,10,0,0
Southwest,ROZ,40-45¡C,Ro2,Females,3,10,3,30
Southwest,ROZ,40-45¡C,Ro2,Females,4,10,2,20
Southwest,ROZ,40-45¡C,Ro2,Females,5,10,4,40
Southwest,ROZ,40-45¡C,Ro6,Females,1,10,2,20
Southwest,ROZ,40-45¡C,Ro6,Females,2,10,1,10
Southwest,ROZ,40-45¡C,Ro6,Females,3,10,1,10
Southwest,ROZ,40-45¡C,Ro6,Females,4,10,0,0
Southwest,ROZ,40-45¡C,Ro6,Females,5,10,3,30
Southwest,ROZ,40-45¡C,Ro6,Females,6,10,0,0
Southwest,ROZ,40-45¡C,Ro6,Females,7,10,0,0
Southwest,ROZ,40-45¡C,Ro6,Females,8,10,6,60
Southwest,ROZ,40-45¡C,Ro7,Females,1,10,1,10
Southwest,ROZ,40-45¡C,Ro7,Females,2,10,5,50
Southwest,ROZ,40-45¡C,Ro7,Females,3,10,5,50
Southwest,ROZ,40-45¡C,Ro7,Females,4,10,3,30
Southwest,ROZ,40-45¡C,Ro7,Females,5,10,7,70
Southwest,ROZ,40-45¡C,Ro7,Females,6,10,2,20
Southwest,ROZ,40-45¡C,Ro10,Females,1,10,1,10
Southwest,ROZ,40-45¡C,Ro10,Females,2,10,1,10
Southwest,ROZ,40-45¡C,Ro10,Females,3,10,1,10
Southwest,ROZ,40-45¡C,Ro10,Females,4,10,4,40
Southwest,ROZ,40-45¡C,Ro10,Females,5,10,2,20
Southwest,ROZ,40-45¡C,Ro14,Females,1,10,7,70
Southwest,ROZ,40-45¡C,Ro14,Females,2,10,3,30
Southwest,ROZ,40-45¡C,Ro14,Females,3,10,1,10
Southwest,ROZ,40-45¡C,Ro14,Females,4,10,2,20
Southwest,ROZ,40-45¡C,Ro14,Females,5,10,3,30
Southwest,ROZ,40-45¡C,Ro14,Females,6,10,4,40
Southwest,CAJ,40-45¡C,D1,Males,1,10,1,10
Southwest,CAJ,40-45¡C,D1,Males,2,10,1,10
Southwest,CAJ,40-45¡C,D1,Males,3,10,2,20
Southwest,CAJ,40-45¡C,D1,Males,4,10,3,30
Southwest,CAJ,40-45¡C,D1,Males,5,10,1,10
Southwest,CAJ,40-45¡C,D2,Males,1,10,1,10
Southwest,CAJ,40-45¡C,D2,Males,2,10,1,10
Southwest,CAJ,40-45¡C,D2,Males,3,10,6,60
Southwest,CAJ,40-45¡C,D2,Males,4,10,5,50
Southwest,CAJ,40-45¡C,D2,Males,5,10,5,50
Southwest,CAJ,40-45¡C,D2,Males,6,10,3,30
Southwest,CAJ,40-45¡C,D4,Males,1,10,3,30
Southwest,CAJ,40-45¡C,D4,Males,2,10,2,20
Southwest,CAJ,40-45¡C,D4,Males,3,10,6,60
Southwest,CAJ,40-45¡C,D4,Males,4,10,3,30
Southwest,CAJ,40-45¡C,D7,Males,1,10,6,60
Southwest,CAJ,40-45¡C,D7,Males,2,10,0,0
Southwest,CAJ,40-45¡C,D7,Males,3,10,4,40
Southwest,CAJ,40-45¡C,D7,Males,4,10,6,60
Southwest,CAJ,40-45¡C,D7,Males,5,10,8,80
Southwest,CAJ,40-45¡C,D7,Males,6,10,3,30
Southwest,CAJ,40-45¡C,D7,Males,7,10,1,10
Southwest,CAJ,40-45¡C,D7,Males,8,10,7,70
Southwest,CAJ,40-45¡C,D9,Males,1,10,3,30
Southwest,CAJ,40-45¡C,D9,Males,2,10,6,60
Southwest,CAJ,40-45¡C,D9,Males,3,10,0,0
Southwest,CAJ,40-45¡C,D9,Males,4,10,1,10
Southwest,CAJ,40-45¡C,D9,Males,5,10,4,40
Southwest,CAJ,40-45¡C,D9,Males,6,10,5,50
Southwest,CAJ,40-45¡C,D9,Males,7,10,2,20
Southwest,REG,40-45¡C,R4,Males,1,10,3,30
Southwest,REG,40-45¡C,R4,Males,2,10,0,0
Southwest,REG,40-45¡C,R4,Males,3,10,0,0
Southwest,REG,40-45¡C,R4,Males,4,10,0,0
Southwest,REG,40-45¡C,R4,Males,5,10,3,30
Southwest,REG,40-45¡C,R4,Males,6,10,1,10
Southwest,REG,40-45¡C,R4,Males,7,10,4,40
Southwest,REG,40-45¡C,R4,Males,8,10,1,10
Southwest,REG,40-45¡C,R4,Males,9,10,3,30
Southwest,REG,40-45¡C,R4,Males,10,10,4,40
Southwest,REG,40-45¡C,R4,Males,11,10,5,50
Southwest,REG,40-45¡C,R6,Males,1,10,0,0
Southwest,REG,40-45¡C,R6,Males,2,10,0,0
Southwest,REG,40-45¡C,R6,Males,3,10,3,30
Southwest,REG,40-45¡C,R6,Males,4,10,1,10
Southwest,REG,40-45¡C,R6,Males,5,10,5,50
Southwest,REG,40-45¡C,R6,Males,6,10,5,50
Southwest,REG,40-45¡C,R6,Males,7,10,4,40
Southwest,REG,40-45¡C,R6,Males,8,10,7,70
Southwest,REG,40-45¡C,R6,Males,9,10,1,10
Southwest,REG,40-45¡C,R9,Males,1,10,4,40
Southwest,REG,40-45¡C,R9,Males,2,10,2,20
Southwest,REG,40-45¡C,R9,Males,3,10,2,20
Southwest,REG,40-45¡C,R9,Males,4,10,3,30
Southwest,REG,40-45¡C,R9,Males,5,10,5,50
Southwest,REG,40-45¡C,R9,Males,6,10,3,30
Southwest,REG,40-45¡C,R9,Males,7,10,9,90
Southwest,REG,40-45¡C,R9,Males,8,10,0,0
Southwest,REG,40-45¡C,R9,Males,9,10,2,20
Southwest,REG,40-45¡C,R9,Males,10,10,1,10
Southwest,REG,40-45¡C,R9,Males,11,10,4,40
Southwest,REG,40-45¡C,R9,Males,12,10,2,20
Southwest,REG,40-45¡C,R9,Males,13,10,2,20
Southwest,REG,40-45¡C,R9,Males,14,10,2,20
Southwest,REG,40-45¡C,R9,Males,15,10,2,20
Southwest,REG,40-45¡C,Southwest2,Males,1,10,1,10
Southwest,REG,40-45¡C,Southwest2,Males,2,10,1,10
Southwest,REG,40-45¡C,Southwest2,Males,3,10,0,0
Southwest,REG,40-45¡C,Southwest2,Males,4,10,3,30
Southwest,REG,40-45¡C,Southwest2,Males,5,10,0,0
Southwest,REG,40-45¡C,Southwest2,Males,6,10,2,20
Southwest,REG,40-45¡C,Southwest2,Males,7,10,3,30
Southwest,REG,40-45¡C,Southwest2,Males,8,10,1,10
Southwest,REG,40-45¡C,Southwest2,Males,9,10,1,10
Southwest,REG,40-45¡C,Southwest2,Males,10,10,1,10
Southwest,PAV,40-45¡C,Pa1,Males,1,10,0,0
Southwest,PAV,40-45¡C,Pa1,Males,2,10,1,10
Southwest,PAV,40-45¡C,Pa1,Males,3,10,2,20
Southwest,PAV,40-45¡C,Pa1,Males,4,10,0,0
Southwest,PAV,40-45¡C,Pa3,Males,1,10,1,10
Southwest,PAV,40-45¡C,Pa3,Males,2,10,0,0
Southwest,PAV,40-45¡C,Pa3,Males,3,10,0,0
Southwest,PAV,40-45¡C,Pa3,Males,4,10,0,0
Southwest,PAV,40-45¡C,Pa3,Males,5,10,0,0
Southwest,PAV,40-45¡C,Pa6,Males,1,10,0,0
Southwest,PAV,40-45¡C,Pa6,Males,2,10,1,10
Southwest,PAV,40-45¡C,Pa6,Males,3,10,0,0
Southwest,PAV,40-45¡C,Pa7,Males,1,10,0,0
Southwest,PAV,40-45¡C,Pa7,Males,2,10,0,0
Southwest,PAV,40-45¡C,Pa7,Males,3,10,0,0
Southwest,PAV,40-45¡C,Pa7,Males,4,10,0,0
Southwest,PAV,40-45¡C,Pa7,Males,5,10,0,0
Southwest,PAV,40-45¡C,Pa7,Males,6,10,1,10
Southwest,PAV,40-45¡C,Pa8,Males,1,10,0,0
Southwest,PAV,40-45¡C,Pa8,Males,2,10,0,0
Southwest,PAV,40-45¡C,Pa8,Males,3,10,0,0
Southwest,PAV,40-45¡C,Pa8,Males,4,10,0,0
Southwest,PAV,40-45¡C,Pa8,Males,5,10,1,10
Southwest,PAV,40-45¡C,Pa8,Males,6,10,1,10
Southwest,PAV,40-45¡C,Pa11,Males,1,10,1,10
Southwest,PAV,40-45¡C,Pa11,Males,2,10,1,10
Southwest,PAV,40-45¡C,Pa11,Males,3,10,0,0
Southwest,PAV,40-45¡C,Pa11,Males,4,10,0,0
Southwest,PAV,40-45¡C,Pa11,Males,5,10,1,10
Southwest,PAV,40-45¡C,Pa11,Males,6,10,1,10
Southwest,PAV,40-45¡C,Pa12,Males,1,10,0,0
Southwest,PAV,40-45¡C,Pa12,Males,2,10,0,0
Southwest,PAV,40-45¡C,Pa12,Males,3,10,0,0
Southwest,PAV,40-45¡C,Pa12,Males,4,10,0,0
Southwest,PAV,40-45¡C,Pa12,Males,5,10,0,0
Southwest,PAV,40-45¡C,Pa13,Males,1,10,0,0
Southwest,PAV,40-45¡C,Pa13,Males,2,10,3,30
Southwest,PAV,40-45¡C,Pa13,Males,3,10,3,30
Southwest,PAV,40-45¡C,Pa13,Males,4,10,1,10
Southwest,PAV,40-45¡C,Pa13,Males,5,10,0,0
Southwest,PAV,40-45¡C,Pa14,Males,1,10,2,20
Southwest,PAV,40-45¡C,Pa14,Males,2,10,0,0
Southwest,PAV,40-45¡C,Pa14,Males,3,10,1,10
Southwest,PAV,40-45¡C,Pa14,Males,4,10,1,10
Southwest,PAV,40-45¡C,Pa14,Males,5,10,1,10
Southwest,PAV,40-45¡C,Pa14,Males,6,10,0,0
Southwest,PAV,40-45¡C,Pa16,Males,1,10,1,10
Southwest,PAV,40-45¡C,Pa16,Males,2,10,1,10
Southwest,PAV,40-45¡C,Pa16,Males,3,10,0,0
Southwest,PAV,40-45¡C,Pa16,Males,4,10,3,30
Southwest,PAV,40-45¡C,Pa16,Males,5,10,1,10
Southwest,PAV,40-45¡C,Pa16,Males,6,10,1,10
Southwest,PAV,40-45¡C,Pa18,Males,1,10,2,20
Southwest,PAV,40-45¡C,Pa18,Males,2,10,2,20
Southwest,PAV,40-45¡C,Pa18,Males,3,10,3,30
Southwest,PAV,40-45¡C,Pa18,Males,4,10,1,10
Southwest,PAV,40-45¡C,Pa18,Males,5,10,3,30
Southwest,PAV,40-45¡C,Pa18,Males,6,10,0,0
Southwest,PAV,40-45¡C,Pa18,Males,7,10,1,10
Southwest,CAN,40-45¡C,C2,Males,1,10,0,0
Southwest,CAN,40-45¡C,C2,Males,2,10,0,0
Southwest,CAN,40-45¡C,C2,Males,3,10,0,0
Southwest,CAN,40-45¡C,C2,Males,4,10,0,0
Southwest,CAN,40-45¡C,C2,Males,5,10,0,0
Southwest,CAN,40-45¡C,C2,Males,6,10,1,10
Southwest,CAN,40-45¡C,C2,Males,7,10,0,0
Southwest,CAN,40-45¡C,C2,Males,8,10,1,10
Southwest,CAN,40-45¡C,C2,Males,9,10,0,0
Southwest,CAN,40-45¡C,C2,Males,10,10,0,0
Southwest,CAN,40-45¡C,C2,Males,11,10,3,30
Southwest,CAN,40-45¡C,C2,Males,12,10,1,10
Southwest,CAN,40-45¡C,C2,Males,13,10,0,0
Southwest,CAN,40-45¡C,C2,Males,14,10,0,0
Southwest,CAN,40-45¡C,C2,Males,15,10,0,0
Southwest,CAN,40-45¡C,C2,Males,16,10,1,10
Southwest,CAN,40-45¡C,C2,Males,17,10,1,10
Southwest,CAN,40-45¡C,C2,Males,18,10,1,10
Southwest,CAN,40-45¡C,C2,Males,19,10,3,30
Southwest,CAN,40-45¡C,C2,Males,20,10,4,40
Southwest,CAN,40-45¡C,C3,Males,1,10,3,30
Southwest,CAN,40-45¡C,C3,Males,2,10,5,50
Southwest,CAN,40-45¡C,C3,Males,3,10,3,30
Southwest,CAN,40-45¡C,C3,Males,4,10,3,30
Southwest,CAN,40-45¡C,C3,Males,5,10,1,10
Southwest,CAN,40-45¡C,C3,Males,6,10,0,0
Southwest,CAN,40-45¡C,C3,Males,7,10,3,30
Southwest,CAN,40-45¡C,C3,Males,8,10,3,30
Southwest,CAN,40-45¡C,C3,Males,9,10,3,30
Southwest,CAN,40-45¡C,C4,Males,1,10,0,0
Southwest,CAN,40-45¡C,C4,Males,2,10,0,0
Southwest,CAN,40-45¡C,C4,Males,3,10,0,0
Southwest,CAN,40-45¡C,C4,Males,4,10,0,0
Southwest,CAN,40-45¡C,C4,Males,5,10,0,0
Southwest,CAN,40-45¡C,C4,Males,6,10,0,0
Southwest,CAN,40-45¡C,C4,Males,7,10,1,10
Southwest,CAN,40-45¡C,C4,Males,8,10,2,20
Southwest,CAN,40-45¡C,C4,Males,9,10,1,10
Southwest,CAN,40-45¡C,C4,Males,10,10,3,30
Southwest,CAN,40-45¡C,C4,Males,11,10,1,10
Southwest,CAN,40-45¡C,C4,Males,12,10,2,20
Southwest,CAN,40-45¡C,C4,Males,13,10,3,30
Southwest,CAN,40-45¡C,C5,Males,1,10,1,10
Southwest,CAN,40-45¡C,C5,Males,2,10,0,0
Southwest,CAN,40-45¡C,C5,Males,3,10,2,20
Southwest,CAN,40-45¡C,C5,Males,4,10,3,30
Southwest,CAN,40-45¡C,C5,Males,5,10,1,10
Southwest,CAN,40-45¡C,C5,Males,6,10,6,60
Southwest,CAN,40-45¡C,C5,Males,7,10,5,50
Southwest,CAN,40-45¡C,C5,Males,8,10,0,0
Southwest,CAN,40-45¡C,C5,Males,9,10,5,50
Southwest,CAN,40-45¡C,C5,Males,10,10,3,30
Southwest,CAN,40-45¡C,C5,Males,11,10,4,40
Southwest,CAN,40-45¡C,C5,Males,12,10,1,10
Southwest,CAN,40-45¡C,C5,Males,13,10,3,30
Southwest,CAN,40-45¡C,C5,Males,14,10,1,10
Southwest,CAN,40-45¡C,C5,Males,15,10,1,10
Southwest,CAN,40-45¡C,C5,Males,16,10,4,40
Southwest,CAN,40-45¡C,C5,Males,17,10,2,20
