region,population,treatment,isofemale,sex,replicate,n,Survival,% Survival
Southwest,CAJ,40-45¡C,D1,Females,1,10,2,20
Southwest,CAJ,40-45¡C,D1,Females,2,10,1,10
Southwest,CAJ,40-45¡C,D1,Females,3,10,5,50
Southwest,CAJ,40-45¡C,D1,Females,4,10,8,80
Southwest,CAJ,40-45¡C,D2,Females,1,10,1,10
Southwest,CAJ,40-45¡C,D2,Females,2,10,1,10
Southwest,CAJ,40-45¡C,D2,Females,3,10,2,20
Southwest,CAJ,40-45¡C,D2,Females,4,10,4,40
Southwest,CAJ,40-45¡C,D2,Females,5,10,9,90
Southwest,CAJ,40-45¡C,D2,Females,6,10,5,50
Southwest,CAJ,40-45¡C,D2,Females,7,10,1,10
Southwest,CAJ,40-45¡C,D2,Females,8,10,5,50
Southwest,CAJ,40-45¡C,D4,Females,1,10,7,70
Southwest,CAJ,40-45¡C,D4,Females,2,10,5,50
Southwest,CAJ,40-45¡C,D4,Females,3,10,4,40
Southwest,CAJ,40-45¡C,D4,Females,4,10,5,50
Southwest,CAJ,40-45¡C,D4,Females,5,10,2,20
Southwest,CAJ,40-45¡C,D4,Females,6,10,7,70
Southwest,CAJ,40-45¡C,D4,Females,7,10,5,50
Southwest,CAJ,40-45¡C,D7,Females,1,10,6,60
Southwest,CAJ,40-45¡C,D7,Females,2,10,7,70
Southwest,CAJ,40-45¡C,D7,Females,3,10,0,0
Southwest,CAJ,40-45¡C,D7,Females,4,10,4,40
Southwest,CAJ,40-45¡C,D7,Females,5,10,8,80
Southwest,CAJ,40-45¡C,D9,Females,1,10,2,20
Southwest,CAJ,40-45¡C,D9,Females,2,10,5,50
Southwest,CAJ,40-45¡C,D9,Females,3,10,2,20
Southwest,CAJ,40-45¡C,D9,Females,4,10,5,50
Southwest,CAJ,40-45¡C,D9,Females,5,10,2,20
Southwest,CAJ,40-45¡C,D9,Females,6,10,8,80
Southwest,CAJ,40-45¡C,D9,Females,7,10,4,40
Southwest,REG,40-45¡C,R4,Females,1,10,3,30
Southwest,REG,40-45¡C,R4,Females,2,10,1,10
Southwest,REG,40-45¡C,R4,Females,3,10,3,30
Southwest,REG,40-45¡C,R4,Females,4,10,0,0
Southwest,REG,40-45¡C,R4,Females,5,10,4,40
Southwest,REG,40-45¡C,R4,Females,6,10,3,30
Southwest,REG,40-45¡C,R4,Females,7,10,3,30
